# Vera source catalog — brick=1877p122 band=r
# Author: MaxKweeger | Software: vera / Claude Sonnet (Anthropic)
# Target journal: Journal of Open Source Software (joss.theoj.org)
ra,dec,x_image,y_image,flux_iso,flux_auto,a_image,b_image,theta,ellip,kron_rad,npix,flags
187.9067039,12.2251288,309.9178,1457.7588,256.737000,328.063080,7.449,0.729,3.21,0.9021,3.500,137,0
187.9139721,12.2251309,210.0495,1457.7878,255.230133,324.953430,7.414,0.702,2.96,0.9053,3.500,138,0
187.7999979,12.2697548,1776.1074,2070.9394,191.453735,323.762360,5.872,0.500,0.02,0.9149,3.500,107,0
187.7537190,12.2795114,2412.0002,2204.9999,259.951691,315.060577,7.212,0.500,-0.01,0.9307,3.500,123,0
187.7120691,12.1195243,2984.2901,6.7035,46.265625,314.881256,48.602,1.066,0.02,0.9781,3.500,799,0
187.8712710,12.2250098,796.7823,1456.1231,232.374298,304.016968,6.714,0.816,10.63,0.8784,3.500,124,0
187.8145869,12.2697543,1575.6477,2070.9327,161.088257,303.396942,8.110,0.500,-0.04,0.9384,3.500,131,0
187.7802830,12.2247826,2046.9988,1453.0012,235.694550,294.493256,6.659,0.500,-0.00,0.9249,3.500,121,0
187.6839279,12.2769021,3370.9632,2169.1467,66.110481,281.167450,12.809,0.598,-0.06,0.9533,3.500,197,0
187.8851404,12.2251106,606.2113,1457.5083,209.450577,280.140533,6.128,0.850,7.04,0.8613,3.500,111,0
187.7088771,12.3506353,3028.1490,3182.2747,32.312294,270.919983,18.954,3.081,0.87,0.8375,3.500,695,0
187.7188216,12.2792931,2891.5078,2202.0011,164.959198,270.533478,4.610,0.500,0.01,0.8915,3.500,48,0
187.8703649,12.2724499,809.2323,2107.9722,216.011902,270.129730,6.007,0.500,0.46,0.9168,3.500,111,0
187.7494265,12.2769007,2470.9812,2169.1282,90.636497,268.396942,9.960,0.523,-0.08,0.9475,3.500,147,0
187.9140836,12.1636303,208.5180,612.7402,266.099518,268.235870,2.955,1.450,-9.53,0.5094,3.500,278,0
187.9213620,12.1636379,108.5095,612.8454,265.120758,266.374390,2.873,1.150,-4.78,0.5997,3.500,272,0
187.8435685,12.2697514,1177.4272,2070.8927,95.395988,261.632019,8.897,0.500,-0.20,0.9438,3.500,130,0
187.8750026,12.1196100,745.5084,7.8822,70.575592,261.035065,14.172,0.823,0.06,0.9420,3.500,468,0
187.8569385,12.2249661,993.7181,1455.5225,188.071442,256.263245,5.530,0.859,8.33,0.8447,3.500,105,0
187.8641772,12.2249776,894.2550,1455.6812,199.137512,254.520447,5.768,0.873,9.42,0.8487,3.500,114,0
187.8782785,12.2250476,700.4960,1456.6430,205.955246,253.880920,5.973,0.766,12.67,0.8718,3.500,116,0
187.8630781,12.2724516,909.3572,2107.9951,210.641983,252.758560,5.895,0.500,0.23,0.9152,3.500,129,0
187.7854481,12.2697552,1976.0282,2070.9460,143.621536,252.044495,3.806,0.500,-0.10,0.8686,3.500,73,0
187.9067969,12.1636063,308.6408,612.4112,239.391281,246.130188,3.346,2.026,-20.34,0.3945,3.500,384,0
187.8208200,12.2249277,1490.0029,1454.9945,195.220963,245.825607,5.488,0.500,0.02,0.9089,3.500,100,0
187.8093952,12.2247827,1646.9839,1453.0023,195.626678,240.309250,5.493,0.500,-0.01,0.9090,3.500,100,0
187.7115440,12.2792931,2991.5051,2202.0006,165.941193,239.818893,4.604,0.500,0.02,0.8914,3.500,76,0
187.7466523,12.2795114,2509.1006,2204.9998,197.974274,236.833923,5.592,0.500,-0.01,0.9106,3.500,98,0
187.6696328,12.2769079,3567.3832,2169.2266,77.690674,233.318115,17.861,0.798,-0.27,0.9553,3.500,354,1
187.7639115,12.2768997,2271.9511,2169.1140,89.700951,228.605835,8.361,0.500,-0.02,0.9402,3.500,109,0
187.7784407,12.2768978,2072.3130,2169.0883,90.323441,227.369110,7.224,0.500,-0.01,0.9308,3.500,74,0
187.8897632,12.1196062,542.6909,7.8289,51.065071,227.117401,17.411,1.034,0.05,0.9406,3.500,527,0
187.7730762,12.2247826,2146.0234,1453.0008,196.586319,226.777206,5.523,0.500,-0.00,0.9095,3.500,100,0
187.9213997,12.2251462,107.9913,1457.9980,174.087662,225.222824,4.913,0.500,0.02,0.8982,3.500,92,0
187.8658397,12.2697513,871.4106,2070.8913,69.307587,224.159103,8.307,0.500,0.07,0.9398,3.500,114,0
187.7042660,12.2792932,3091.5074,2202.0020,165.447952,223.584259,4.612,0.500,0.02,0.8916,3.500,79,0
187.9286434,12.1636493,8.4602,613.0014,215.145142,214.981689,2.880,0.500,0.00,0.8264,3.500,201,1
187.9076444,12.1655835,296.9954,639.5785,1.395432,213.564545,3.520,1.934,-58.34,0.4507,3.500,65,0
187.8971083,12.1196086,441.7658,7.8626,45.025993,205.980774,18.883,0.989,-0.03,0.9477,3.500,507,0
187.7711882,12.2768969,2171.9659,2169.0753,72.709213,204.122116,6.031,0.500,0.01,0.9171,3.500,56,0
187.7587409,12.2873712,2342.9983,2312.9970,176.368134,203.888824,4.978,0.500,-0.01,0.8995,3.500,93,0
187.7441868,12.2873707,2542.9779,2312.9906,176.977142,203.773880,5.016,0.500,-0.05,0.9003,3.500,106,0
187.7369120,12.2873710,2642.9373,2312.9942,176.127701,203.096848,4.988,0.500,0.03,0.8997,3.500,101,0
187.8644729,12.2431312,890.1918,1705.1192,17.232273,202.776031,46.131,2.191,0.13,0.9525,3.500,1060,0
187.7514649,12.2873706,2442.9729,2312.9895,176.752197,200.800980,5.011,0.500,-0.01,0.9002,3.500,116,0
187.6969529,12.2792931,3191.9924,2202.0006,154.955200,199.792114,4.332,0.500,0.02,0.8846,3.500,80,0
187.7843221,12.2722334,1991.5007,2104.9971,166.128387,199.396973,4.624,0.500,-0.00,0.8919,3.500,86,0
187.7296320,12.2873708,2742.9671,2312.9925,176.415558,197.915482,4.999,0.500,0.02,0.9000,3.500,122,0
187.7657238,12.2247826,2247.0492,1453.0014,173.902405,194.492554,4.934,0.500,0.00,0.8987,3.500,93,0
187.8778863,12.2724470,705.8848,2107.9319,157.831146,194.354752,4.441,0.500,1.82,0.8874,3.500,99,0
187.6757614,12.2624904,3483.1736,1971.1232,33.741673,191.814774,69.183,1.618,-0.21,0.9766,3.500,1098,1
187.8133977,12.2249277,1591.9887,1454.9953,155.651108,191.152084,4.329,0.500,0.01,0.8845,3.500,74,0
187.8512525,12.2697537,1071.8463,2070.9245,57.823162,188.330872,5.592,0.500,0.05,0.9106,3.500,47,0
187.9118034,12.1196091,239.8494,7.8692,36.862907,185.922638,19.366,1.022,-0.06,0.9472,3.500,499,0
187.6914303,12.2768990,3267.8755,2169.1046,52.076950,185.211212,9.817,0.500,-0.09,0.9491,3.500,94,0
187.8157780,12.2065881,1559.2824,1203.0004,166.551071,183.203476,2.082,0.500,-0.02,0.7599,3.500,57,0
187.8994902,12.1635586,409.0372,611.7553,188.563507,182.216354,3.900,2.339,-40.87,0.4002,3.500,324,0
187.8457603,12.1196164,1147.3116,7.9691,113.607399,180.321945,9.053,0.500,0.04,0.9448,3.500,156,0
187.7274435,12.2768986,2773.0385,2169.0989,59.784626,179.863403,7.887,0.500,0.05,0.9366,3.500,78,0
187.9287528,12.2251463,6.9569,1457.9982,145.095398,178.047791,4.449,0.500,0.00,0.8876,3.500,78,1
187.7223827,12.2806759,2842.5764,2221.0010,161.163300,177.361511,1.968,0.500,0.00,0.7459,3.500,48,0
187.8434121,12.3316203,1179.5765,2921.0002,176.643173,176.678146,2.407,0.500,-0.01,0.7923,3.500,177,0
187.7151069,12.2806759,2942.5487,2221.0014,154.339920,176.389694,1.972,0.500,-0.03,0.7464,3.500,48,0
187.7566640,12.2768969,2371.5359,2169.0759,56.178043,174.949600,5.324,0.500,-0.02,0.9061,3.500,46,0
187.8532238,12.1196158,1044.7599,7.9613,99.025749,174.779556,9.282,0.500,0.10,0.9461,3.500,148,0
187.8084993,12.2065880,1659.2949,1202.9992,160.789429,172.815613,2.141,0.500,0.00,0.7664,3.500,68,0
187.8343717,12.2624711,1303.7955,1970.8585,16.813463,170.893356,51.913,1.300,-0.18,0.9749,3.500,719,0
187.7421053,12.2768972,2571.5787,2169.0793,56.367989,170.484680,6.332,0.500,0.03,0.9210,3.500,56,0
187.8923673,12.2724447,506.9097,2107.9001,121.959976,169.925308,4.629,0.500,2.40,0.8920,3.500,89,0
187.6739244,12.1635765,3508.4154,612.0011,152.840286,166.772888,2.498,0.500,-0.01,0.7999,3.500,63,0
187.9111711,12.1563714,248.5375,513.0005,151.164566,165.745575,3.437,0.500,0.02,0.8545,3.500,101,0
187.8506873,12.3316203,1079.6118,2921.0000,162.126602,162.119064,2.424,0.500,0.00,0.7938,3.500,176,0
187.8361374,12.3316203,1279.5348,2921.0005,157.932693,157.890305,2.413,0.500,-0.04,0.7928,3.500,176,0
187.8592163,12.2843232,962.4197,2271.1159,12.574856,156.516876,57.469,1.107,0.08,0.9807,3.500,647,0
187.7394545,12.2795114,2608.0012,2204.9998,133.320068,156.465088,3.745,0.500,0.01,0.8665,3.500,66,0
187.7732819,12.2873710,2143.1974,2312.9953,135.776459,155.415771,2.801,0.500,0.02,0.8215,3.500,69,0
187.7348917,12.2768968,2670.6960,2169.0738,48.487835,154.519638,5.838,0.500,-0.03,0.9144,3.500,48,0
187.8167081,12.2247826,1546.5023,1453.0017,124.379082,153.826447,3.450,0.500,-0.00,0.8551,3.500,58,0
